Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
23,17-Feb,82,33.4,11.7,10.2,4.3,2.4,34,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,83,4.7,8,6.3,8,6.3,2,0,0,0,0,0,0
7,1-Feb,83,5.2,8.4,7,5.6,3.8,7,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,83,12.7,8.9,6.2,8.8,6.2,10,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,83,13.3,8.3,6.4,,,19,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,83,44.5,8.3,6.1,3.7,2,43,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,84,5.8,8.3,5.8,8.3,5.8,2,0,0,0,0,0,0
7,1-Feb,84,10.6,8.8,6.1,6.5,3.9,10,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,84,12.6,8.7,6.3,4.2,1.9,13,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,84,13.8,8.8,6.2,4.5,1.7,27,0.7,-0.3,-0.15,-2.35,-2.05,1.5
21,15-Feb,84,39.9,8.8,5.9,2.1,2.2,39,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,85,7.1,9.9,8.9,9.9,8.9,2,0,0,0,0,0,0
7,1-Feb,85,14,11.3,10.6,7.8,3.1,5,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,85,17.4,11.7,10.4,3.8,1.7,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,85,20.5,8.3,6.4,8.3,3.9,11,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,85,25.8,11.6,10.8,8.3,4.6,14,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,86,10.8,10.3,9.8,10.3,9.8,2,0,0,0,0,0,0
7,1-Feb,86,15.1,13.5,12,4.1,2,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,86,27,12.8,11.6,4.4,1.5,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,86,73.6,8.8,6.2,6,3,17,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,87,7.4,8.6,8.1,8.6,8.1,2,0,0,0,0,0,0
7,1-Feb,87,15.3,10.2,9.6,10.2,5,5,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,87,20.1,10.2,9.6,4.4,2.2,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,87,27.1,12,11,4.1,1.8,14,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,88,8.3,6.9,6.6,6.9,6.6,2,0,0,0,0,0,0
7,1-Feb,88,13.4,9.9,9.3,8.5,4.1,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,88,16.7,9.4,9.2,6,2.8,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,88,26.1,13.5,12.3,5.6,2.3,11,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,89,6,8.6,7.5,8.6,7.5,2,0,0,0,0,0,0
7,1-Feb,89,9.5,9.6,8.6,5.8,4.1,5,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,89,11.1,9.7,8,4,1.9,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,89,12.2,10.2,9.9,7.3,3.5,11,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,89,10.9,9.4,8.3,7.1,3.8,17,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,90,5.4,10,8.5,10,8.5,2,0,0,0,0,0,0
7,1-Feb,90,11.1,12.2,10.6,4.2,2.3,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,90,12.6,12.5,10,6.5,3.7,14,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,90,19.2,9.3,9.3,6.1,3.2,17,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,91,5.1,7.1,5.3,7.1,5.3,2,0,0,0,0,0,0
7,1-Feb,91,5.9,7.5,5.8,4.9,2.8,9,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,91,5.7,7.1,5.8,6.1,3.9,12,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,91,10.8,9.6,8.1,5.3,3,15,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,91,28.3,7.5,5.2,3.7,2.3,36,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,92,4.9,6.9,5.1,6.9,5.1,2,0,0,0,0,0,0
7,1-Feb,92,10.6,7.1,6.1,7.4,4.2,10,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,92,8.2,7.8,5.9,4.2,2,13,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,92,15.2,12.1,10.5,4,1.5,20,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,92,53.6,7.8,6.4,4.5,3.2,37,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,93,9.1,8.9,5.9,8.9,5.9,2,0,0,0,0,0,0
7,1-Feb,93,13.2,11.3,7.1,4.3,3.2,7,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,93,15.6,11,6.8,3.6,2.2,7,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,93,18.6,7.1,5.5,6.5,4.4,14,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,93,23.5,9.5,6.3,4,2.6,17,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,94,6.4,7.7,5.1,7.7,5.1,2,0,0,0,0,0,0
7,1-Feb,94,10.1,10.2,7.5,2.9,1.9,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,94,13.5,10.2,7.5,4.3,2.4,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,94,16.8,9.7,8.2,8.4,5,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,94,23.9,10,7.5,5,3.1,14,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,95,9.2,7.7,4.7,7.7,4.7,2,0,0,0,0,0,0
7,1-Feb,95,11,10.5,5.9,2.5,1.9,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,95,13.9,10.6,5.8,3.9,1.8,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,95,16.8,11.2,6.6,6.5,4,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,95,21.7,10.7,5.9,4.4,2.5,14,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,96,10.1,8.9,6.4,8.9,6.4,2,0,0,0,0,0,0
7,1-Feb,96,14.1,10.3,6,2.7,2.1,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,96,17.4,10.1,6.2,4.1,3.1,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,96,20.5,10.3,7.5,6.5,5.6,14,0.7,-0.3,-0.15,-2.35,-2.05,1.5
21,15-Feb,96,25.8,10.1,6.2,6.9,4.3,17,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,97,8.6,4.9,4.5,4.9,4.5,2,0,0,0,0,0,0
7,1-Feb,97,13.4,5.4,4.2,4.7,2.1,5,0.96,0.1,-0.06,-0.04,-0.48,0.6
9,3-Feb,97,15.2,4.9,4.5,6.5,3,5,0.9,-0.25,0.15,0.9,0.45,0
14,8-Feb,97,18.3,10.3,6.3,8.6,4.1,8,0.62,1.08,0.36,0.42,0.22,0.6
21,15-Feb,97,14.2,5.5,4.2,5.9,3.4,11,-0.585714286,-0.685714286,-0.3,-0.385714286,-0.1,0.428571429
2,27-Jan,98,10.5,6.2,4.3,6.2,4.3,2,0.194736842,-0.036842105,-0.005263158,-0.015789474,-0.047368421,0.473684211
7,1-Feb,98,14.8,6.2,4.4,2.8,1.2,8,0,0,0,0,0,0
9,3-Feb,98,20.8,7.1,5.1,4,1.9,8,3,0.45,0.35,0.6,0.35,0
14,8-Feb,98,21.8,10.4,6.4,6.6,3.2,11,0.2,0.66,0.26,0.52,0.26,0.6
21,15-Feb,98,25.2,6.9,4.1,6.1,4.1,14,0.485714286,-0.5,-0.328571429,-0.071428571,0.128571429,0.428571429
2,27-Jan,99,8.5,5.9,3.7,5.9,3.7,2,0,0,0,0,0,0
2,27-Jan,100,8.9,7.2,4.2,7.2,4.2,2,0,0,0,0,0,0
2,27-Jan,101,5.7,5,2.4,5,2.4,2,0,0,0,0,0,0
7,1-Feb,101,9.9,5.7,2.8,3,2.1,5,0.84,0.14,0.08,-0.4,-0.06,0.6
9,3-Feb,101,10.1,5.2,2.2,4,2.3,8,0.1,-0.25,-0.3,0.5,0.1,1.5
14,8-Feb,101,11.1,5.3,2.9,2.7,1.6,14,0.2,0.02,0.14,-0.26,-0.14,1.2
23,17-Feb,101,8.7,5.1,2.9,3.3,1.8,20,-0.266666667,-0.022222222,0,0.066666667,0.022222222,0.666666667
2,27-Jan,102,4.1,3.4,1.8,3.4,1.8,2,0,0,0,0,0,0
7,1-Feb,102,7.6,3.9,1.7,2.5,1.6,5,0.7,0.1,-0.02,-0.18,-0.04,0.6
9,3-Feb,102,8.2,3.8,2,3.1,2.1,8,0.3,-0.05,0.15,0.3,0.25,1.5
14,8-Feb,102,8.8,3.8,1.8,6.1,3.1,8,0.12,0,-0.04,0.6,0.2,0
21,15-Feb,102,9.2,3.9,2,2.5,1.4,14,0.057142857,0.014285714,0.028571429,-0.514285714,-0.242857143,0.857142857
2,27-Jan,103,4.4,6.1,3.4,6.1,3.4,2,0,0,0,0,0,0
7,1-Feb,103,8.4,6.1,3.2,5.1,2.8,4,0.8,0,-0.04,-0.2,-0.12,0.4
9,3-Feb,103,9.4,6,3.5,2.3,1.5,7,0.5,-0.05,0.15,-1.4,-0.65,1.5
14,8-Feb,103,10.2,6.2,3.5,4.8,3.1,10,0.16,0.04,0,0.5,0.32,0.6
21,15-Feb,103,8.2,6.1,3.3,4.7,2.8,11,-0.285714286,-0.014285714,-0.028571429,-0.014285714,-0.042857143,0.142857143
2,27-Jan,104,5.8,6.5,3.4,6.5,3.4,2,0,0,0,0,0,0
7,1-Feb,104,11.8,6.7,3.6,5.9,3,5,1.2,0.04,0.04,-0.12,-0.08,0.6
9,3-Feb,104,12.3,6.7,3.4,2.7,1.8,8,0.25,0,-0.1,-1.6,-0.6,1.5
14,8-Feb,104,13.3,6.6,3.5,4.9,3.2,16,0.2,-0.02,0.02,0.44,0.28,1.6
21,15-Feb,104,9.2,6.3,2.9,3.3,2.2,25,-0.585714286,-0.042857143,-0.085714286,-0.228571429,-0.142857143,1.285714286
2,27-Jan,105,4.6,5.3,3.8,5.3,3.8,2,0,0,0,0,0,0
7,1-Feb,105,8.2,5.4,3.9,3.1,2.9,5,0.72,0.02,0.02,-0.44,-0.18,0.6
9,3-Feb,105,8.9,5.2,3.9,4.1,3.1,5,0.35,-0.1,0,0.5,0.1,0
14,8-Feb,105,9.7,6.1,4,5.3,4,8,0.16,0.18,0.02,0.24,0.18,0.6
23,17-Feb,105,10.9,5.2,4.1,5.1,3.1,14,0.133333333,-0.1,0.011111111,-0.022222222,-0.1,0.666666667
2,27-Jan,106,5.4,6,4.1,6,4.1,2,0,0,0,0,0,0
7,1-Feb,106,9.1,7.3,5.2,3.6,2.8,5,0.74,0.26,0.22,-0.48,-0.26,0.6
9,3-Feb,106,11.2,6.6,5,3.8,1.7,8,1.05,-0.35,-0.1,0.1,-0.55,1.5
14,8-Feb,106,12.4,6.7,5.3,7.4,4,11,0.24,0.02,0.06,0.72,0.46,0.6
23,17-Feb,106,11.5,7.3,5.4,3.9,2.5,14,-0.1,0.066666667,0.011111111,-0.388888889,-0.166666667,0.333333333
14,8-Feb,107,2.9,12,6.5,5.6,3.5,8,0,0,0,0,0,0
23,17-Feb,107,4.7,12.3,7.4,5.1,2.5,13,0.2,0.033333333,0.1,-0.055555556,-0.111111111,0.555555556
14,8-Feb,108,8.9,4.5,5.9,3,2.1,3,0,0,0,0,0,0
21,15-Feb,108,12.3,7.7,9.1,6.2,3.2,4,0.485714286,0.457142857,0.457142857,0.457142857,0.157142857,0.142857143
14,8-Feb,109,4,9.6,4.2,6.7,3.5,7,0,0,0,0,0,0
14,8-Feb,110,9.5,5.6,5.6,3.7,4.7,4,0,0,0,0,0,0
14,8-Feb,111,16.3,11.4,8.3,4.8,5.8,5,0,0,0,0,0,0
14,8-Feb,112,11.7,6,6.1,3.8,2.1,4,0,0,0,0,0,0
14,8-Feb,113,3.5,10.2,6.3,4.7,1.8,5,0,0,0,0,0,0
14,8-Feb,114,16,10.3,9.1,3.9,5.2,4,0,0,0,0,0,0
14,8-Feb,115,14.6,7.8,6.1,4.8,1.2,4,0,0,0,0,0,0
23,17-Feb,115,15,4.8,5,10,5.1,5,0.044444444,-0.333333333,-0.122222222,0.577777778,0.433333333,0.111111111
14,8-Feb,116,3.8,8.7,4.9,3.3,1.8,11,0,0,0,0,0,0
14,8-Feb,117,12.5,7.8,5.5,5.1,3.2,4,0,0,0,0,0,0
14,8-Feb,118,3.2,7,5.2,5.1,2.4,7,0,0,0,0,0,0
23,17-Feb,118,4.9,9.4,6.6,6.5,3.9,15,0.188888889,0.266666667,0.155555556,0.155555556,0.166666667,0.888888889
14,8-Feb,119,12.1,6.4,5.5,4.7,3.1,3,0,0,0,0,0,0
14,8-Feb,120,3.1,7.6,3.8,4.5,2.6,8,0,0,0,0,0,0
23,17-Feb,120,4.5,10,5.4,4.2,2.2,9,0.155555556,0.266666667,0.177777778,-0.033333333,-0.044444444,0.111111111
14,8-Feb,121,2.4,1.6,2,1.6,2,1,0,0,0,0,0,0
14,8-Feb,122,7.8,6.5,6.7,3,3.4,4,0,0,0,0,0,0
14,8-Feb,123,6.1,4.3,4.6,2.5,3,4,0,0,0,0,0,0
21,15-Feb,123,13.8,9.6,8.3,6.5,3.6,5,1.1,0.757142857,0.528571429,0.571428571,0.085714286,0.142857143
14,8-Feb,124,7.2,5.5,5.7,1.9,1.1,4,0,0,0,0,0,0
23,17-Feb,124,12,6.3,6.6,8.1,5.1,5,0.533333333,0.088888889,0.1,0.688888889,0.444444444,0.111111111
14,8-Feb,125,5.6,4.5,3.6,2.9,1.8,4,0,0,0,0,0,0
14,8-Feb,126,6,5.5,4.6,3.5,4,4,0,0,0,0,0,0
23,17-Feb,126,11.7,3.4,4,6.4,6,6,0.633333333,-0.233333333,-0.066666667,0.322222222,0.222222222,0.222222222
14,8-Feb,127,6.1,4.6,5.1,2.9,3.8,6,0,0,0,0,0,0
21,15-Feb,127,15.8,8,6.4,3.2,4.1,9,1.385714286,0.485714286,0.185714286,0.042857143,0.042857143,0.428571429
14,8-Feb,128,6.7,4.7,4.8,2.1,2.7,5,0,0,0,0,0,0
14,8-Feb,129,3.7,6.7,3.3,4.9,2.8,9,0,0,0,0,0,0
23,17-Feb,129,7.4,7,3.3,5.6,3.2,18,0.411111111,0.033333333,0,0.077777778,0.044444444,1
14,8-Feb,130,1.8,6.5,4.2,3.6,1.8,16,0,0,0,0,0,0
23,17-Feb,130,8.7,6.6,4.5,4.3,1.9,17,0.766666667,0.011111111,0.033333333,0.077777778,0.011111111,0.111111111
14,8-Feb,131,2.8,2,2.2,2,2.2,3,0,0,0,0,0,0
23,17-Feb,131,6.1,2.1,3.1,3.5,3.6,4,0.366666667,0.011111111,0.1,0.166666667,0.155555556,0.111111111
14,8-Feb,132,2.3,1.7,2.3,1.7,2.3,3,0,0,0,0,0,0
23,17-Feb,132,5.9,2.1,2.9,4,5,4,0.4,0.044444444,0.066666667,0.255555556,0.3,0.111111111
14,8-Feb,133,5.2,3,3.2,2.1,3.1,4,0,0,0,0,0,0
23,17-Feb,133,11.3,4.2,5,6.4,6.7,5,0.677777778,0.133333333,0.2,0.477777778,0.4,0.111111111
14,8-Feb,134,8.3,5.8,6.6,3.7,3.7,6,0,0,0,0,0,0
21,15-Feb,134,11.4,3.6,3.1,5.7,3.8,7,0.442857143,-0.314285714,-0.5,0.285714286,0.014285714,0.142857143
14,8-Feb,135,6.7,6.1,4.1,4.4,3.2,4,0,0,0,0,0,0
23,17-Feb,135,10.5,6.5,6.7,10.1,8.9,7,0.422222222,0.044444444,0.288888889,0.633333333,0.633333333,0.333333333
14,8-Feb,136,9.1,7.4,5.7,4.3,4.9,4,0,0,0,0,0,0
14,8-Feb,137,1.9,3.6,1.7,3.6,1.7,3,0,0,0,0,0,0
23,17-Feb,137,4.8,5.2,3.1,5.2,3.4,6,0.322222222,0.177777778,0.155555556,0.177777778,0.188888889,0.333333333
14,8-Feb,138,3.3,9.8,4.9,5.9,4.1,8,0,0,0,0,0,0
23,17-Feb,138,5.9,10.2,5,4.5,2.6,11,0.288888889,0.044444444,0.011111111,-0.155555556,-0.166666667,0.333333333
14,8-Feb,139,4.9,1.8,2.3,1.8,2.3,3,0,0,0,0,0,0
23,17-Feb,139,11.3,2,2.3,3.3,4.1,4,0.711111111,0.022222222,0,0.166666667,0.2,0.111111111
14,8-Feb,140,1.3,1,1.2,1,1.2,1,0,0,0,0,0,0
14,8-Feb,141,1.8,1.7,2.2,1.7,2.2,2,0,0,0,0,0,0
23,17-Feb,141,3.5,2.9,4.1,4.1,4.6,4,0.188888889,0.133333333,0.211111111,0.266666667,0.266666667,0.222222222
14,8-Feb,142,1.9,2.1,2.8,2.1,2.8,2,0,0,0,0,0,0
14,8-Feb,143,3.7,8.7,4.4,4.2,2.2,7,0,0,0,0,0,0
23,17-Feb,143,7.8,8.5,4.5,5.6,3.3,10,0.455555556,-0.022222222,0.011111111,0.155555556,0.122222222,0.333333333
14,8-Feb,144,3.1,7.9,2.8,3.6,2.4,8,0,0,0,0,0,0
23,17-Feb,144,5.4,7.4,2.6,5.5,3.4,11,0.255555556,-0.055555556,-0.022222222,0.211111111,0.111111111,0.333333333
14,8-Feb,145,3,1.3,1.8,1.3,1.8,1,0,0,0,0,0,0
21,15-Feb,145,5.5,2.1,2.6,2.1,2.6,3,0.357142857,0.114285714,0.114285714,0.114285714,0.114285714,0.285714286
14,8-Feb,146,3.3,1.7,2.1,1.7,2.1,2,0,0,0,0,0,0
21,15-Feb,146,6.3,2.4,3,2.1,2.2,3,0.428571429,0.1,0.128571429,0.057142857,0.014285714,0.142857143
14,8-Feb,147,2,1.4,2.2,1.4,2.2,2,0,0,0,0,0,0
21,15-Feb,147,4.2,1.6,1.8,2.7,3.4,3,0.314285714,0.028571429,-0.057142857,0.185714286,0.171428571,0.142857143
14,8-Feb,148,3.4,1.6,2.2,2.1,2.6,3,0,0,0,0,0,0
23,17-Feb,148,7.6,2.5,3.3,4.7,5.5,4,0.466666667,0.1,0.122222222,0.288888889,0.322222222,0.111111111
23,17-Feb,149,9.1,3.1,3.9,4.7,3.9,5,0,0,0,0,0,0
23,17-Feb,150,5.9,2.1,3.9,5.1,5.6,5,0,0,0,0,0,0
23,17-Feb,151,6.4,1.9,2.1,2.7,2.9,4,0,0,0,0,0,0
23,17-Feb,152,5.1,3.4,4.7,3.5,4.6,4,0,0,0,0,0,0
23,17-Feb,153,3.3,3.1,4.1,2.9,3.1,3,0,0,0,0,0,0
23,17-Feb,154,1.8,1.9,2,1.9,2,2,0,0,0,0,0,0
23,17-Feb,155,1.1,1.2,1.6,1.2,1.6,2,0,0,0,0,0,0
23,17-Feb,156,3.5,2.1,3.2,3.4,3.2,4,0,0,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
