Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
7,1-Feb,37,1.2,7.8,3,5.4,2.1,5,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,37,3.4,8.6,3.3,3.4,1.6,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
14,8-Feb,37,3.9,9.2,3.6,4.4,1.3,13,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,38,1.6,3.6,2.2,3.6,2.2,2,0,0,0,0,0,0
7,1-Feb,38,1,6.9,4.6,3.9,2.8,5,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,38,3.2,8.2,5,4.5,2.8,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,38,3.8,8,5.2,2.6,1.8,9,0.7,-0.3,-0.15,-2.35,-2.05,1.5
0,25-Jan,39,1,5.7,2.8,5.7,2.8,2,0,0,0,0,0,0
2,27-Jan,39,1,6.5,3.5,4.3,2.2,4,0.05,0.7,0.3,0.4,0.4,0
7,1-Feb,39,1.8,9.5,6.3,5.8,3.1,6,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,39,3.1,9.7,6.8,6.7,3.8,6,0.7,-0.3,-0.15,-2.35,-2.05,1.5
14,8-Feb,39,2.7,6.1,4.3,4.1,1.7,10,2.5,0.16,0.04,0.36,0.4,0.4
23,17-Feb,39,4,9,6.9,5.5,3.1,16,1.92857143,-0.1285714,-0.1142857,-0.0571429,-0.1,0.57142857
0,25-Jan,40,0.2,3.7,2.2,3.7,2.2,2,0,0,0,0,0,0
2,27-Jan,40,0.7,4.7,2.7,2.1,1.3,4,0.05,0.7,0.3,0.4,0.4,0
7,1-Feb,40,1.8,6.4,4,5.3,3.8,5,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,40,2.3,6.6,4.1,5.8,4.1,6,0.7,-0.3,-0.15,-2.35,-2.05,1.5
